Order ID,Order Date,Region,Category,Sub-Category,Sales,Quantity,Profit,Customer Name
ORD-10000,2024-01-13,East,Office Supplies,Pen,2524.43,3,2222.59,Jonathan Boyd
ORD-10001,2024-10-29,West,Office Supplies,Pen,414.65,2,694.98,Kim Cruz
ORD-10002,2024-10-14,South,Office Supplies,Pen,7188.59,9,1287.58,Katherine Green
ORD-10003,2024-01-04,South,Furniture,Sofa,7011.58,6,869.72,Scott Williams
ORD-10004,2024-02-22,North,Technology,Keyboard,3861.28,6,2550.11,Crystal Rivera
ORD-10005,2024-01-23,West,Office Supplies,Printer Paper,5408.66,7,282.46,Shawn Wood
ORD-10006,2024-10-22,South,Furniture,Sofa,7075.26,1,2000.73,Danielle Quinn
ORD-10007,2024-04-29,North,Furniture,Chair,3863.25,8,1925.27,Erica Owens
ORD-10008,2024-07-08,East,Furniture,Table,2174.12,5,2120.37,Paul Thomas DDS
ORD-10009,2024-11-07,South,Office Supplies,Pen,5387.98,4,532.04,Virginia Johnson
ORD-10010,2024-11-23,South,Furniture,Sofa,6877.68,1,725.69,Randy Page
ORD-10011,2024-07-24,East,Technology,Keyboard,755.27,10,2635.28,Bobby Goodwin
ORD-10012,2024-12-01,West,Furniture,Table,4016.76,8,471.47,Stacey Wilson
ORD-10013,2024-10-14,East,Technology,Mouse,7495.44,7,2698.58,Julie Patel
ORD-10014,2024-04-22,South,Furniture,Sofa,5144.31,2,2279.56,Deborah White
ORD-10015,2024-11-17,South,Technology,Mouse,7941.59,7,1809.41,Jody Patterson
ORD-10016,2024-11-01,West,Furniture,Cabinet,5338.23,9,2589.3,Shirley Smith
ORD-10017,2024-12-15,East,Technology,Laptop,7709.13,6,379.08,Brian Garcia
ORD-10018,2024-08-20,North,Furniture,Table,9542.78,5,2917.07,Tammy Cook
ORD-10019,2024-11-16,East,Technology,Laptop,8432.53,9,1846.46,Alexandria Nielsen
ORD-10020,2024-03-23,North,Technology,Keyboard,6029.55,8,107.46,Alexandra Simmons
ORD-10021,2024-05-02,North,Furniture,Sofa,2484.63,10,2843.5,Kenneth Newton
ORD-10022,2024-02-05,South,Technology,Monitor,1371.08,8,2843.2,Zachary Tran
ORD-10023,2024-09-27,West,Technology,Keyboard,9647.19,9,2278.03,Todd Mcintyre
ORD-10024,2024-12-31,East,Office Supplies,Notebook,4050.02,6,1342.4,Troy Thomas
ORD-10025,2024-03-02,South,Office Supplies,Stapler,2324.5,6,112.05,Roy Diaz
ORD-10026,2024-10-28,South,Office Supplies,Notebook,171.19,1,725.38,Katherine Peters
ORD-10027,2024-02-06,South,Technology,Keyboard,2856.92,8,682.0,Amanda Barber
ORD-10028,2024-05-04,West,Technology,Monitor,8094.22,4,328.26,Kenneth Robinson
ORD-10029,2024-06-30,West,Office Supplies,Stapler,,1,,Jennifer Wade
ORD-10030,2024-02-01,West,Office Supplies,Pen,7309.31,2,783.54,Brandy Fox
ORD-10031,2024-03-12,West,Technology,Monitor,1916.53,8,786.93,Jessica Anderson
ORD-10032,2024-10-08,North,Technology,Monitor,600.82,9,2516.28,Douglas Ross
ORD-10033,2024-03-26,West,Technology,Mouse,4907.85,4,2600.72,Douglas Alexander
ORD-10034,2024-07-13,North,Technology,Mouse,9854.56,5,2783.23,Courtney Mora
ORD-10035,2024-08-04,West,Furniture,Sofa,1632.49,5,692.22,Kenneth Gordon
ORD-10036,2024-06-09,North,Technology,Laptop,596.41,8,1533.41,Bryan Evans
ORD-10037,2024-01-30,North,Office Supplies,Notebook,8528.29,2,1805.35,Ashley Parker
ORD-10038,2024-07-25,North,Office Supplies,Notebook,9421.8,10,776.34,Rhonda Holt
ORD-10039,2024-11-13,North,Office Supplies,Pen,4250.33,10,1717.42,Nancy Lewis
ORD-10040,2024-04-14,East,Furniture,Sofa,2462.99,7,436.09,Jason Garza
ORD-10041,2024-08-22,East,Office Supplies,Printer Paper,9297.28,2,77.48,Stephen Stephenson
ORD-10042,2024-02-07,South,Office Supplies,Pen,5108.26,3,2803.12,Lee Jones
ORD-10043,2024-07-08,East,Technology,Mouse,1661.69,9,2125.44,Jeremy Newman
ORD-10044,2024-12-07,East,Office Supplies,Pen,9324.38,2,2819.84,Richard Burton
ORD-10045,2024-02-29,North,Technology,Keyboard,7449.93,3,853.43,Toni Shannon
ORD-10046,2024-06-24,South,Office Supplies,Notebook,6906.22,5,1540.96,Robert Hutchinson
ORD-10047,2024-02-17,West,Furniture,Chair,8310.55,1,60.46,Jessica Alvarez
ORD-10048,2024-03-23,West,Technology,Keyboard,5561.64,7,1704.68,Sandra Potter
ORD-10049,2024-12-19,South,Technology,Laptop,5501.34,6,1768.4,Ruth Johnson
ORD-10050,2024-03-06,North,Technology,Monitor,3151.76,1,2701.83,Meagan Williams
ORD-10051,2024-12-07,North,Technology,Mouse,3601.42,9,2658.2,Rhonda Wilkerson
